cohort,record_type,model,formula,n_episodes,n_persons,n_observations,n_fixed_effects,n_parameters,log_likelihood,AIC,BIC,fixed_variance,person_variance,episode_variance,residual_variance,marginal_R2,conditional_R2,converged,optimizer,optimizer_message,lrt_df,lrt_statistic,lrt_p_value,coefficient,estimate
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[pre2],-0.0378795301715904
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[event],0.2069696805776771
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[year2],0.1097112672265706
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,time[year4],0.0296247913571298
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,event[unemployment],-0.0946939608693905
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,event[caregiving],-0.1501837625420979
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,event[health],0.1359760996850889
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,age_centered,-0.009911686148588
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,calendar_centered,0.0048504728833804
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,sex[female],0.1144106135688586
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,education[other_qualification],0.2248195448869923
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,education[no_qualification],0.5115636598298516
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,education[unknown],0.1053930533228463
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,socio[disabled],0.4675761412672231
HRS,fixed_effect,U,,16938.0,13073.0,68511.0,,,,,,,,,,,,True,,,,,,socio[not_labor_force],0.1570629408038162
