record_type,cohort,validation,outcome_metric,outcome_formulation,model,base_model,candidate_model,comparison,metric,estimate,ci_lower,ci_upper,bootstrap_se,n_persons,n_train_min,n_train_max,temporal_cutoff,bootstrap_success,bootstrap_attempts,notes
model_metric,HRS,grouped_10fold,acute,ancova_level,B2,,,,MAE,0.7422591822980289,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B2,,,,predictive_R2,0.2575184364142304,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B2,,,,mean_log_predictive_density,-1.335634273672783,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B2,,,,calibration_intercept,0.0068572331440867,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B2,,,,calibration_slope,0.9686361840316278,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B3,,,,RMSE,0.9185420021530304,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B3,,,,MAE,0.741343093669634,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B3,,,,predictive_R2,0.2588053347842858,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B3,,,,mean_log_predictive_density,-1.334729655032682,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B3,,,,calibration_intercept,0.0065369607131861,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B3,,,,calibration_slope,0.971797553128022,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B4,,,,RMSE,0.9193390650663182,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B4,,,,MAE,0.7422591822980289,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,ancova_level,B4,,,,predictive_R2,0.2575184364142304,,,,1166,1049,1050,,,,
