source_table,cohort,validation,outcome_metric,outcome_formulation,baseline_scope,comparison,estimate,ci_lower,ci_upper,benchmark,upper_below,interval_crosses,lower_above,eu_predictive_R2_gain,gain_to_abs_eu_ratio,same_order_of_magnitude_as_eu,n_persons,notes
baseline_information_decomposition,UKHLS,grouped_10fold,acute,ancova_level,current_state,B4_minus_B3,8.982992743766793e-05,-0.0025795734563084,0.0030058767889027,0.01,True,False,False,0.0031969320991318,0.0280987911698416,False,1956,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,grouped_10fold,persistence,change,context,B2_minus_B0,0.0282577512067939,0.0073946437495423,0.0490465290816406,0.0025,False,False,True,0.0031969320991318,8.839021390059553,True,1956,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,grouped_10fold,persistence,change,context,B2_minus_B0,0.0282577512067939,0.0073946437495423,0.0490465290816406,0.005,False,False,True,0.0031969320991318,8.839021390059553,True,1956,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,grouped_10fold,persistence,change,context,B2_minus_B0,0.0282577512067939,0.0073946437495423,0.0490465290816406,0.01,False,True,False,0.0031969320991318,8.839021390059553,True,1956,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,grouped_10fold,persistence,change,current_state,B4_minus_B3,0.0011906997745265,-0.0028045788434101,0.0049266528522538,0.0025,False,True,False,0.0031969320991318,0.3724507551630305,True,1956,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,grouped_10fold,persistence,change,current_state,B4_minus_B3,0.0011906997745265,-0.0028045788434101,0.0049266528522538,0.005,True,False,False,0.0031969320991318,0.3724507551630305,True,1956,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,grouped_10fold,persistence,change,current_state,B4_minus_B3,0.0011906997745265,-0.0028045788434101,0.0049266528522538,0.01,True,False,False,0.0031969320991318,0.3724507551630305,True,1956,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,grouped_10fold,persistence,ancova_level,context,B2_minus_B0,0.0013310893519303,-0.0027187100734482,0.0055895257352796,0.0025,False,True,False,0.0031969320991318,0.41636459913924,True,1956,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,grouped_10fold,persistence,ancova_level,context,B2_minus_B0,0.0013310893519303,-0.0027187100734482,0.0055895257352796,0.005,False,True,False,0.0031969320991318,0.41636459913924,True,1956,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,grouped_10fold,persistence,ancova_level,context,B2_minus_B0,0.0013310893519303,-0.0027187100734482,0.0055895257352796,0.01,True,False,False,0.0031969320991318,0.41636459913924,True,1956,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,grouped_10fold,persistence,ancova_level,current_state,B4_minus_B3,0.0013310893519303,-0.0031588090994476,0.0057341027147326,0.0025,False,True,False,0.0031969320991318,0.41636459913924,True,1956,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,grouped_10fold,persistence,ancova_level,current_state,B4_minus_B3,0.0013310893519303,-0.0031588090994476,0.0057341027147326,0.005,False,True,False,0.0031969320991318,0.41636459913924,True,1956,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,grouped_10fold,persistence,ancova_level,current_state,B4_minus_B3,0.0013310893519303,-0.0031588090994476,0.0057341027147326,0.01,True,False,False,0.0031969320991318,0.41636459913924,True,1956,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,acute,change,context,B2_minus_B0,-0.0006964608696503,-0.0025756808047977,0.0010179688584033,0.0025,True,False,False,0.001672659687636,-0.4163792998650444,True,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,acute,change,context,B2_minus_B0,-0.0006964608696503,-0.0025756808047977,0.0010179688584033,0.005,True,False,False,0.001672659687636,-0.4163792998650444,True,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,acute,change,context,B2_minus_B0,-0.0006964608696503,-0.0025756808047977,0.0010179688584033,0.01,True,False,False,0.001672659687636,-0.4163792998650444,True,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,acute,change,current_state,B4_minus_B3,-0.0055697975657661,-0.0171415126249573,0.0049134998513922,0.0025,False,True,False,0.001672659687636,-3.329904825791574,True,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,acute,change,current_state,B4_minus_B3,-0.0055697975657661,-0.0171415126249573,0.0049134998513922,0.005,True,False,False,0.001672659687636,-3.329904825791574,True,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,acute,change,current_state,B4_minus_B3,-0.0055697975657661,-0.0171415126249573,0.0049134998513922,0.01,True,False,False,0.001672659687636,-3.329904825791574,True,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,acute,ancova_level,context,B2_minus_B0,-0.0046361959662579,-0.0130752796471919,0.0037076910016702,0.0025,False,True,False,0.001672659687636,-2.7717508830564284,True,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,acute,ancova_level,context,B2_minus_B0,-0.0046361959662579,-0.0130752796471919,0.0037076910016702,0.005,True,False,False,0.001672659687636,-2.7717508830564284,True,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,acute,ancova_level,context,B2_minus_B0,-0.0046361959662579,-0.0130752796471919,0.0037076910016702,0.01,True,False,False,0.001672659687636,-2.7717508830564284,True,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,acute,ancova_level,current_state,B4_minus_B3,-0.0046361959662579,-0.0126242226035886,0.0038028608057411,0.0025,False,True,False,0.001672659687636,-2.7717508830564284,True,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,acute,ancova_level,current_state,B4_minus_B3,-0.0046361959662579,-0.0126242226035886,0.0038028608057411,0.005,True,False,False,0.001672659687636,-2.7717508830564284,True,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,acute,ancova_level,current_state,B4_minus_B3,-0.0046361959662579,-0.0126242226035886,0.0038028608057411,0.01,True,False,False,0.001672659687636,-2.7717508830564284,True,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,persistence,change,context,B2_minus_B0,-0.0824483266806175,-0.1421742097541006,-0.0193416632165229,0.0025,True,False,False,0.001672659687636,-49.29175210597873,False,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,persistence,change,context,B2_minus_B0,-0.0824483266806175,-0.1421742097541006,-0.0193416632165229,0.005,True,False,False,0.001672659687636,-49.29175210597873,False,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,persistence,change,context,B2_minus_B0,-0.0824483266806175,-0.1421742097541006,-0.0193416632165229,0.01,True,False,False,0.001672659687636,-49.29175210597873,False,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,persistence,change,current_state,B4_minus_B3,-0.0188639532557112,-0.0344985497774665,-0.0025509011623072,0.0025,True,False,False,0.001672659687636,-11.277819029866132,False,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,persistence,change,current_state,B4_minus_B3,-0.0188639532557112,-0.0344985497774665,-0.0025509011623072,0.005,True,False,False,0.001672659687636,-11.277819029866132,False,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,persistence,change,current_state,B4_minus_B3,-0.0188639532557112,-0.0344985497774665,-0.0025509011623072,0.01,True,False,False,0.001672659687636,-11.277819029866132,False,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,persistence,ancova_level,context,B2_minus_B0,-0.0177577185064801,-0.0333246570419997,-0.0020538716602725,0.0025,True,False,False,0.001672659687636,-10.6164563166925,False,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,persistence,ancova_level,context,B2_minus_B0,-0.0177577185064801,-0.0333246570419997,-0.0020538716602725,0.005,True,False,False,0.001672659687636,-10.6164563166925,False,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,persistence,ancova_level,context,B2_minus_B0,-0.0177577185064801,-0.0333246570419997,-0.0020538716602725,0.01,True,False,False,0.001672659687636,-10.6164563166925,False,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,persistence,ancova_level,current_state,B4_minus_B3,-0.0177577185064801,-0.034594208172409,-0.0036339836111442,0.0025,True,False,False,0.001672659687636,-10.6164563166925,False,587,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,UKHLS,temporal_70_30,persistence,ancova_level,current_state,B4_minus_B3,-0.0177577185064801,-0.034594208172409,-0.0036339836111442,0.005,True,False,False,0.001672659687636,-10.6164563166925,False,587,"benchmarks are predictive-statistical, not clinical"
