record_type,cohort,validation,outcome_metric,outcome_formulation,baseline_scope,model,base_model,candidate_model,comparison,metric,estimate,ci_lower,ci_upper,bootstrap_se,n_persons,ridge_alpha_min,ridge_alpha_median,ridge_alpha_max,temporal_cutoff,bootstrap_success,bootstrap_attempts,notes
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R4_acute_residual,R4_acute_residual_minus_BASE,MAE,-0.0018346214624747,-0.0060088499883305,0.0017036377561799,0.0020383346947925,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R4_acute_residual,R4_acute_residual_minus_BASE,predictive_R2,0.0014791180135543,-0.0071850037989232,0.0095805092481361,0.0044325916478555,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R4_acute_residual,R4_acute_residual_minus_BASE,mean_log_predictive_density,0.0007917628378701,-0.0036852629817306,0.0050159927730626,0.0022618961795616,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R4_persistence_residual,R4_persistence_residual_minus_BASE,RMSE,0.0218195220253007,0.0047222371232884,0.0365540009622552,0.0082460127068282,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R4_persistence_residual,R4_persistence_residual_minus_BASE,MAE,0.0048946317788167,-0.0075529530568713,0.016840575624877,0.0064781249592724,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R4_persistence_residual,R4_persistence_residual_minus_BASE,predictive_R2,0.0419318688503352,0.00929297192013,0.0703087781653675,0.0155562072565212,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R4_persistence_residual,R4_persistence_residual_minus_BASE,mean_log_predictive_density,0.0214837522175836,0.0050673598307216,0.036364393730188,0.0082377620502249,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R4_joint_residual,R4_joint_residual_minus_BASE,RMSE,0.0193871603859616,0.003641688594525,0.0363174738888738,0.0082262446399286,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R4_joint_residual,R4_joint_residual_minus_BASE,MAE,0.0038472931061717,-0.0078310963362903,0.0171968444895366,0.006338311061668,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R4_joint_residual,R4_joint_residual_minus_BASE,predictive_R2,0.0373019563663989,0.0070295157129539,0.0688082729804103,0.0156043814650681,1166,,,,,500.0,500.0,paired person-cluster bootstrap
comparison,HRS,grouped_10fold,acute,change,context,,BASE,R4_joint_residual,R4_joint_residual_minus_BASE,mean_log_predictive_density,0.0189465750952111,0.0030261957293867,0.0359388829999583,0.0083393821236987,1166,,,,,500.0,500.0,paired person-cluster bootstrap
model_metric,HRS,grouped_10fold,acute,change,current_state,BASE,,,,RMSE,0.9185420021530304,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,BASE,,,,MAE,0.741343093669634,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,BASE,,,,predictive_R2,0.2037929139593854,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,BASE,,,,mean_log_predictive_density,-1.334729655032682,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,BASE,,,,calibration_intercept,0.0099224121490642,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,BASE,,,,calibration_slope,0.9526438647453808,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R1_prior_acute,,,,RMSE,0.9193390650663182,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R1_prior_acute,,,,MAE,0.7422591822980289,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R1_prior_acute,,,,predictive_R2,0.2024105003380543,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R1_prior_acute,,,,mean_log_predictive_density,-1.335634273672783,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R1_prior_acute,,,,calibration_intercept,0.0100490222655489,,,,1166,0.0,0.0,0.0,,,,
model_metric,HRS,grouped_10fold,acute,change,current_state,R1_prior_acute,,,,calibration_slope,0.950090965336344,,,,1166,0.0,0.0,0.0,,,,
