case_id,sample_id,cohort,analysis,event_family,outcome,variant,benchmark,representation,base_role,n_parent,n_complete,missing_excluded,temporal_cutoff,temporal_train_n,temporal_test_n,temporal_person_overlap_excluded,run_id,formulation,scale,analysis_role,validation,row_type,term,metric,estimate,ci_lower,ci_upper,n_evaluated,n_finite_model_predictions,bootstrap_successful,bootstrap_attempted,bootstrap_seed,status,interval_status,increment_definition
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,grouped_cv,model,M3,mae,1.7029626448551831,1.5070143049965632,1.896873761430098,188,188,500,500,785705704,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,grouped_cv,model,M3,mean_log_predictive_density,-2.2295049551050754,-2.3606723316483045,-2.110753405824775,188,188,500,500,785705704,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,grouped_cv,model,M3,predictive_r2,0.2225086498954769,0.033499231334844,0.3742599803941644,188,188,500,500,785705704,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,grouped_cv,model,M3,rmse,2.2152124551089876,1.9824155946425392,2.450695688778928,188,188,500,500,785705704,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,temporal,increment,M1-M0,calibration_intercept,-0.0629286844693042,-0.1020399680805335,-0.0077754934990869,51,51,500,500,1915560612,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,temporal,increment,M1-M0,calibration_slope,0.0239056764838223,0.0022320240418428,0.0394850253274809,51,51,500,500,1915560612,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,temporal,increment,M1-M0,mae,-0.0060975775805147,-0.019922487886447,0.0058845547903625,51,51,500,500,1915560612,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,temporal,increment,M1-M0,mean_log_predictive_density,0.0074442285113502,0.0001648647831432,0.017003935907687,51,51,500,500,1915560612,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,temporal,increment,M1-M0,predictive_r2,0.0088228122427128,0.0001777869435993,0.0230277102992789,51,51,500,500,1915560612,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,temporal,increment,M1-M0,rmse,-0.0137198927125381,-0.0274076703434817,-0.0002784661276107,51,51,500,500,1915560612,estimated,500_paired_person_resamples,augmented_minus_baseline
