display_row,panel,label,cohort,outcome,analysis_role,validation,estimate,ci_lower,ci_upper,n,source_file,source_row_0based,source_filter,source_estimate_column,source_n_column,source_ci_columns,unit,notes,contrast,representation,variant,event_family,n_complete,temporal_cutoff
21,C Multiple acute histories,History after both states,UKHLS,acute,secondary,grouped_cv,-0.0005929373445602,-0.0071045283955066,0.0050311942692943,1042,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,2956,"{""analysis"": ""multi_event"", ""cohort"": ""UKHLS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""ef857a03ec26a346"", ""sample_id"": ""multi_UKHLS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""C3-C2"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C3-C2,mean,nonoverlap,multiple,1042,2022-05-10
22,C Multiple acute histories,Current pre1 instead of earlier pre2,UKHLS,acute,secondary,temporal,0.0797004234626017,-0.0686639988340512,0.191889058071983,311,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,2986,"{""analysis"": ""multi_event"", ""cohort"": ""UKHLS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""ef857a03ec26a346"", ""sample_id"": ""multi_UKHLS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""C1-C0"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C1-C0,mean,nonoverlap,multiple,1042,2022-05-10
23,C Multiple acute histories,Add pre2 after current pre1,UKHLS,acute,secondary,temporal,0.0012434295500745,-0.0486556812825671,0.0472442570536724,311,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,2992,"{""analysis"": ""multi_event"", ""cohort"": ""UKHLS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""ef857a03ec26a346"", ""sample_id"": ""multi_UKHLS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""C2-C1"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C2-C1,mean,nonoverlap,multiple,1042,2022-05-10
24,C Multiple acute histories,History after both states,UKHLS,acute,secondary,temporal,-0.0036196611474398,-0.0193417744930371,0.0112150097229343,311,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,2998,"{""analysis"": ""multi_event"", ""cohort"": ""UKHLS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""ef857a03ec26a346"", ""sample_id"": ""multi_UKHLS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""C3-C2"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C3-C2,mean,nonoverlap,multiple,1042,2022-05-10
25,A Caregiving acute,Current pre1 instead of earlier pre2,UKHLS,acute,secondary,grouped_cv,0.187176640837772,0.1435582650150697,0.2254517200789453,1882,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,3616,"{""analysis"": ""recurrence"", ""cohort"": ""UKHLS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""3bf4f84ee4824a32"", ""sample_id"": ""recurrence_UKHLS_caregiving_acute"", ""scale"": ""standardized"", ""term"": ""C1-C0"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C1-C0,same_response,same_domain,caregiving,1882,2021-12-14
26,A Caregiving acute,Add pre2 after current pre1,UKHLS,acute,secondary,grouped_cv,0.0502283840030489,0.0294209188805115,0.073373004609249,1882,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,3622,"{""analysis"": ""recurrence"", ""cohort"": ""UKHLS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""3bf4f84ee4824a32"", ""sample_id"": ""recurrence_UKHLS_caregiving_acute"", ""scale"": ""standardized"", ""term"": ""C2-C1"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C2-C1,same_response,same_domain,caregiving,1882,2021-12-14
27,A Caregiving acute,History after both states,UKHLS,acute,secondary,grouped_cv,-0.001147176294953,-0.0020744169589518,-0.0003172277124072,1882,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,3628,"{""analysis"": ""recurrence"", ""cohort"": ""UKHLS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""3bf4f84ee4824a32"", ""sample_id"": ""recurrence_UKHLS_caregiving_acute"", ""scale"": ""standardized"", ""term"": ""C3-C2"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C3-C2,same_response,same_domain,caregiving,1882,2021-12-14
28,A Caregiving acute,Current pre1 instead of earlier pre2,UKHLS,acute,secondary,temporal,0.1727471058288391,0.0803182371703986,0.2603608485355654,564,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,3658,"{""analysis"": ""recurrence"", ""cohort"": ""UKHLS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""3bf4f84ee4824a32"", ""sample_id"": ""recurrence_UKHLS_caregiving_acute"", ""scale"": ""standardized"", ""term"": ""C1-C0"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C1-C0,same_response,same_domain,caregiving,1882,2021-12-14
29,A Caregiving acute,Add pre2 after current pre1,UKHLS,acute,secondary,temporal,0.0771469608931608,0.037481922946358,0.1175708586160529,564,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,3664,"{""analysis"": ""recurrence"", ""cohort"": ""UKHLS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""3bf4f84ee4824a32"", ""sample_id"": ""recurrence_UKHLS_caregiving_acute"", ""scale"": ""standardized"", ""term"": ""C2-C1"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C2-C1,same_response,same_domain,caregiving,1882,2021-12-14
30,A Caregiving acute,History after both states,UKHLS,acute,secondary,temporal,-0.0001037034728513,-0.0007046177433355,0.0005704920657056,564,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,3670,"{""analysis"": ""recurrence"", ""cohort"": ""UKHLS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""3bf4f84ee4824a32"", ""sample_id"": ""recurrence_UKHLS_caregiving_acute"", ""scale"": ""standardized"", ""term"": ""C3-C2"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C3-C2,same_response,same_domain,caregiving,1882,2021-12-14
31,B Caregiving persistence,Current pre1 instead of earlier pre2,UKHLS,persistence,secondary,grouped_cv,0.2218007837666546,0.1686764014403814,0.2739863977693907,990,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,3952,"{""analysis"": ""recurrence"", ""cohort"": ""UKHLS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""bdeaeb67c51a21e3"", ""sample_id"": ""recurrence_UKHLS_caregiving_persistence"", ""scale"": ""standardized"", ""term"": ""C1-C0"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C1-C0,same_response,same_domain,caregiving,990,2020-05-31
32,B Caregiving persistence,Add pre2 after current pre1,UKHLS,persistence,secondary,grouped_cv,0.0418126587201036,0.0090439355538282,0.0768942156318668,990,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,3958,"{""analysis"": ""recurrence"", ""cohort"": ""UKHLS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""bdeaeb67c51a21e3"", ""sample_id"": ""recurrence_UKHLS_caregiving_persistence"", ""scale"": ""standardized"", ""term"": ""C2-C1"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C2-C1,same_response,same_domain,caregiving,990,2020-05-31
33,B Caregiving persistence,History after both states,UKHLS,persistence,secondary,grouped_cv,-0.0064527148048474,-0.0144666922177085,-0.0006109892868433,990,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,3964,"{""analysis"": ""recurrence"", ""cohort"": ""UKHLS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""bdeaeb67c51a21e3"", ""sample_id"": ""recurrence_UKHLS_caregiving_persistence"", ""scale"": ""standardized"", ""term"": ""C3-C2"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C3-C2,same_response,same_domain,caregiving,990,2020-05-31
34,B Caregiving persistence,Current pre1 instead of earlier pre2,UKHLS,persistence,secondary,temporal,0.2840636450037777,0.1754870110746898,0.3753390082702,297,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,3994,"{""analysis"": ""recurrence"", ""cohort"": ""UKHLS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""bdeaeb67c51a21e3"", ""sample_id"": ""recurrence_UKHLS_caregiving_persistence"", ""scale"": ""standardized"", ""term"": ""C1-C0"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C1-C0,same_response,same_domain,caregiving,990,2020-05-31
35,B Caregiving persistence,Add pre2 after current pre1,UKHLS,persistence,secondary,temporal,0.0152602609427231,-0.0647412699467721,0.0977949948917465,297,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,4000,"{""analysis"": ""recurrence"", ""cohort"": ""UKHLS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""bdeaeb67c51a21e3"", ""sample_id"": ""recurrence_UKHLS_caregiving_persistence"", ""scale"": ""standardized"", ""term"": ""C2-C1"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C2-C1,same_response,same_domain,caregiving,990,2020-05-31
36,B Caregiving persistence,History after both states,UKHLS,persistence,secondary,temporal,-0.006664971025173,-0.0223643347181107,0.0090036024382013,297,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,4006,"{""analysis"": ""recurrence"", ""cohort"": ""UKHLS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""bdeaeb67c51a21e3"", ""sample_id"": ""recurrence_UKHLS_caregiving_persistence"", ""scale"": ""standardized"", ""term"": ""C3-C2"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C3-C2,same_response,same_domain,caregiving,990,2020-05-31
