display_row,panel,label,cohort,outcome,analysis_role,validation,estimate,ci_lower,ci_upper,n,source_file,source_row_0based,source_filter,source_estimate_column,source_n_column,source_ci_columns,unit,notes,time_point,n_episodes,n_observations
22,HRS,widowhood,HRS,,main trajectory analysis,not applicable,-0.4860080863535121,-0.5261632720510389,-0.4507483173512702,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,79,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""widowhood"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""pre1""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,pre1,16938,68511.0
23,HRS,widowhood,HRS,,main trajectory analysis,not applicable,-0.1712073759442152,-0.2117433447859085,-0.1325826119084828,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,80,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""widowhood"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""event""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,event,16938,68511.0
24,HRS,widowhood,HRS,,main trajectory analysis,not applicable,-0.4395169738432965,-0.4818035029373331,-0.4005380089234667,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,81,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""widowhood"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""year2""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,year2,16938,68511.0
25,HRS,widowhood,HRS,,main trajectory analysis,not applicable,-0.5117438778233317,-0.5559197483252789,-0.4707209441789927,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,82,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""widowhood"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""year4""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,year4,16938,68511.0
26,HRS,unemployment,HRS,,main trajectory analysis,not applicable,-0.5697889324507792,-0.6162317226056098,-0.519547807280951,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,89,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""unemployment"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""pre2""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,pre2,16938,68511.0
27,HRS,unemployment,HRS,,main trajectory analysis,not applicable,-0.521018061572458,-0.5681902239764616,-0.4782112068873412,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,90,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""unemployment"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""pre1""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,pre1,16938,68511.0
28,HRS,unemployment,HRS,,main trajectory analysis,not applicable,-0.4183146042931114,-0.4612099774126441,-0.3737855072934581,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,91,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""unemployment"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""event""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,event,16938,68511.0
29,HRS,unemployment,HRS,,main trajectory analysis,not applicable,-0.5199510015389116,-0.5741056670512948,-0.4752308890938267,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,92,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""unemployment"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""year2""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,year2,16938,68511.0
30,HRS,unemployment,HRS,,main trajectory analysis,not applicable,-0.5627611126111662,-0.6153881062427909,-0.5116812127276251,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,93,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""unemployment"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""year4""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,year4,16938,68511.0
31,HRS,caregiving,HRS,,main trajectory analysis,not applicable,-0.573973711609781,-0.6155446180545063,-0.5329030321206979,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,100,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""caregiving"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""pre2""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,pre2,16938,68511.0
32,HRS,caregiving,HRS,,main trajectory analysis,not applicable,-0.5775492394000746,-0.6198984384793588,-0.5414845416910199,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,101,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""caregiving"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""pre1""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,pre1,16938,68511.0
33,HRS,caregiving,HRS,,main trajectory analysis,not applicable,-0.5177607985861341,-0.5576944717369657,-0.479600284981227,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,102,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""caregiving"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""event""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,event,16938,68511.0
34,HRS,caregiving,HRS,,main trajectory analysis,not applicable,-0.5576052623396697,-0.5973292183104341,-0.5166408828584503,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,103,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""caregiving"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""year2""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,year2,16938,68511.0
35,HRS,caregiving,HRS,,main trajectory analysis,not applicable,-0.6308185605839894,-0.6744591998941893,-0.5914217921111531,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,104,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""caregiving"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""year4""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,year4,16938,68511.0
36,HRS,health,HRS,,main trajectory analysis,not applicable,-0.4097078914399171,-0.454921542747265,-0.3683664663220674,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,111,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""health"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""pre2""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,pre2,16938,68511.0
37,HRS,health,HRS,,main trajectory analysis,not applicable,-0.4080104445758342,-0.4479409761103886,-0.369371655264741,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,112,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""health"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""pre1""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,pre1,16938,68511.0
38,HRS,health,HRS,,main trajectory analysis,not applicable,-0.1690891530620488,-0.2095860849431587,-0.1299235117987426,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,113,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""health"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""event""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,event,16938,68511.0
39,HRS,health,HRS,,main trajectory analysis,not applicable,-0.1327253141721195,-0.1737099652736191,-0.0928285878722527,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,114,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""health"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""year2""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,year2,16938,68511.0
40,HRS,health,HRS,,main trajectory analysis,not applicable,-0.2283186875668699,-0.2792405600421671,-0.1858336414962308,13073,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,115,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""HRS"", ""event_type"": ""health"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""year4""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,year4,16938,68511.0
