display_row,panel,label,cohort,outcome,analysis_role,validation,estimate,ci_lower,ci_upper,n,source_file,source_row_0based,source_filter,source_estimate_column,source_n_column,source_ci_columns,unit,notes
11,UKHLS persistence_2y_z,unemployment complete_four_points,UKHLS,persistence_2y_z,descriptive,not applicable,-0.0167073000787815,,,919,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,12,"{""analysis"": ""year2_complete_four_points"", ""cohort"": ""UKHLS"", ""event_type"": ""unemployment"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
12,UKHLS persistence_2y_z,widowhood complete_four_points,UKHLS,persistence_2y_z,descriptive,not applicable,-0.2591458079897124,,,348,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,13,"{""analysis"": ""year2_complete_four_points"", ""cohort"": ""UKHLS"", ""event_type"": ""widowhood"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
13,UKHLS persistence_4y_z,caregiving unweighted,UKHLS,persistence_4y_z,descriptive,not applicable,0.0419951470446194,,,5812,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,15,"{""analysis"": ""year4_unweighted"", ""cohort"": ""UKHLS"", ""event_type"": ""caregiving"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
14,UKHLS persistence_4y_z,health unweighted,UKHLS,persistence_4y_z,descriptive,not applicable,0.0988549768005842,,,5745,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,16,"{""analysis"": ""year4_unweighted"", ""cohort"": ""UKHLS"", ""event_type"": ""health"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
15,UKHLS persistence_4y_z,unemployment unweighted,UKHLS,persistence_4y_z,descriptive,not applicable,-0.0402026591031649,,,1036,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,17,"{""analysis"": ""year4_unweighted"", ""cohort"": ""UKHLS"", ""event_type"": ""unemployment"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
16,UKHLS persistence_4y_z,widowhood unweighted,UKHLS,persistence_4y_z,descriptive,not applicable,-0.240482138155568,,,364,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,18,"{""analysis"": ""year4_unweighted"", ""cohort"": ""UKHLS"", ""event_type"": ""widowhood"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
17,UKHLS persistence_4y_z,caregiving IPOW_truncated_1_99,UKHLS,persistence_4y_z,descriptive,not applicable,0.0273209801592137,,,5812,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,19,"{""analysis"": ""year4_IPOW_truncated_1_99"", ""cohort"": ""UKHLS"", ""event_type"": ""caregiving"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
18,UKHLS persistence_4y_z,health IPOW_truncated_1_99,UKHLS,persistence_4y_z,descriptive,not applicable,0.0910687095970837,,,5745,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,20,"{""analysis"": ""year4_IPOW_truncated_1_99"", ""cohort"": ""UKHLS"", ""event_type"": ""health"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
19,UKHLS persistence_4y_z,unemployment IPOW_truncated_1_99,UKHLS,persistence_4y_z,descriptive,not applicable,-0.0453344816417617,,,1036,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,21,"{""analysis"": ""year4_IPOW_truncated_1_99"", ""cohort"": ""UKHLS"", ""event_type"": ""unemployment"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
20,UKHLS persistence_4y_z,widowhood IPOW_truncated_1_99,UKHLS,persistence_4y_z,descriptive,not applicable,-0.2243883799270568,,,364,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,22,"{""analysis"": ""year4_IPOW_truncated_1_99"", ""cohort"": ""UKHLS"", ""event_type"": ""widowhood"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
21,UKHLS persistence_4y_z,caregiving complete_four_points,UKHLS,persistence_4y_z,descriptive,not applicable,0.0391507952579369,,,5220,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,23,"{""analysis"": ""year4_complete_four_points"", ""cohort"": ""UKHLS"", ""event_type"": ""caregiving"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
22,UKHLS persistence_4y_z,health complete_four_points,UKHLS,persistence_4y_z,descriptive,not applicable,0.1009784891537915,,,5383,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,24,"{""analysis"": ""year4_complete_four_points"", ""cohort"": ""UKHLS"", ""event_type"": ""health"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
23,UKHLS persistence_4y_z,unemployment complete_four_points,UKHLS,persistence_4y_z,descriptive,not applicable,-0.0414801932990438,,,919,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,25,"{""analysis"": ""year4_complete_four_points"", ""cohort"": ""UKHLS"", ""event_type"": ""unemployment"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
24,UKHLS persistence_4y_z,widowhood complete_four_points,UKHLS,persistence_4y_z,descriptive,not applicable,-0.2535673268001099,,,348,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,26,"{""analysis"": ""year4_complete_four_points"", ""cohort"": ""UKHLS"", ""event_type"": ""widowhood"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
25,HRS persistence_2y_z,widowhood unweighted,HRS,persistence_2y_z,descriptive,not applicable,0.0543944627810622,,,3804,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,29,"{""analysis"": ""year2_unweighted"", ""cohort"": ""HRS"", ""event_type"": ""widowhood"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
26,HRS persistence_2y_z,unemployment unweighted,HRS,persistence_2y_z,descriptive,not applicable,-0.004874696672846,,,1600,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,30,"{""analysis"": ""year2_unweighted"", ""cohort"": ""HRS"", ""event_type"": ""unemployment"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
27,HRS persistence_2y_z,caregiving unweighted,HRS,persistence_2y_z,descriptive,not applicable,0.0154725580093786,,,2728,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,31,"{""analysis"": ""year2_unweighted"", ""cohort"": ""HRS"", ""event_type"": ""caregiving"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
28,HRS persistence_2y_z,health unweighted,HRS,persistence_2y_z,descriptive,not applicable,0.2673718809731814,,,3993,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,32,"{""analysis"": ""year2_unweighted"", ""cohort"": ""HRS"", ""event_type"": ""health"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
29,HRS persistence_2y_z,widowhood IPOW_truncated_1_99,HRS,persistence_2y_z,descriptive,not applicable,0.0471582341128882,,,3804,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,33,"{""analysis"": ""year2_IPOW_truncated_1_99"", ""cohort"": ""HRS"", ""event_type"": ""widowhood"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
30,HRS persistence_2y_z,unemployment IPOW_truncated_1_99,HRS,persistence_2y_z,descriptive,not applicable,-0.0122714061502145,,,1600,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,34,"{""analysis"": ""year2_IPOW_truncated_1_99"", ""cohort"": ""HRS"", ""event_type"": ""unemployment"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
31,HRS persistence_2y_z,caregiving IPOW_truncated_1_99,HRS,persistence_2y_z,descriptive,not applicable,0.0083085260368434,,,2728,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,35,"{""analysis"": ""year2_IPOW_truncated_1_99"", ""cohort"": ""HRS"", ""event_type"": ""caregiving"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
32,HRS persistence_2y_z,health IPOW_truncated_1_99,HRS,persistence_2y_z,descriptive,not applicable,0.2609651347950207,,,3993,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,36,"{""analysis"": ""year2_IPOW_truncated_1_99"", ""cohort"": ""HRS"", ""event_type"": ""health"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
33,HRS persistence_2y_z,widowhood complete_four_points,HRS,persistence_2y_z,descriptive,not applicable,0.0266207571993571,,,2499,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,37,"{""analysis"": ""year2_complete_four_points"", ""cohort"": ""HRS"", ""event_type"": ""widowhood"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
34,HRS persistence_2y_z,unemployment complete_four_points,HRS,persistence_2y_z,descriptive,not applicable,0.0024317755175287,,,1132,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,38,"{""analysis"": ""year2_complete_four_points"", ""cohort"": ""HRS"", ""event_type"": ""unemployment"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
35,HRS persistence_2y_z,caregiving complete_four_points,HRS,persistence_2y_z,descriptive,not applicable,0.0207471522742496,,,1946,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,39,"{""analysis"": ""year2_complete_four_points"", ""cohort"": ""HRS"", ""event_type"": ""caregiving"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
36,HRS persistence_2y_z,health complete_four_points,HRS,persistence_2y_z,descriptive,not applicable,0.2290145230570132,,,2396,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,40,"{""analysis"": ""year2_complete_four_points"", ""cohort"": ""HRS"", ""event_type"": ""health"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
37,HRS persistence_4y_z,widowhood unweighted,HRS,persistence_4y_z,descriptive,not applicable,-0.0149136432123588,,,2861,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,42,"{""analysis"": ""year4_unweighted"", ""cohort"": ""HRS"", ""event_type"": ""widowhood"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
38,HRS persistence_4y_z,unemployment unweighted,HRS,persistence_4y_z,descriptive,not applicable,-0.0319849574441968,,,1334,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,43,"{""analysis"": ""year4_unweighted"", ""cohort"": ""HRS"", ""event_type"": ""unemployment"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
39,HRS persistence_4y_z,caregiving unweighted,HRS,persistence_4y_z,descriptive,not applicable,-0.0549073329986512,,,2231,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,44,"{""analysis"": ""year4_unweighted"", ""cohort"": ""HRS"", ""event_type"": ""caregiving"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
40,HRS persistence_4y_z,health unweighted,HRS,persistence_4y_z,descriptive,not applicable,0.1709070470760722,,,2714,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,45,"{""analysis"": ""year4_unweighted"", ""cohort"": ""HRS"", ""event_type"": ""health"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
41,HRS persistence_4y_z,widowhood IPOW_truncated_1_99,HRS,persistence_4y_z,descriptive,not applicable,-0.0265596616579911,,,2861,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,46,"{""analysis"": ""year4_IPOW_truncated_1_99"", ""cohort"": ""HRS"", ""event_type"": ""widowhood"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
42,HRS persistence_4y_z,unemployment IPOW_truncated_1_99,HRS,persistence_4y_z,descriptive,not applicable,-0.0468981522418828,,,1334,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,47,"{""analysis"": ""year4_IPOW_truncated_1_99"", ""cohort"": ""HRS"", ""event_type"": ""unemployment"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
43,HRS persistence_4y_z,caregiving IPOW_truncated_1_99,HRS,persistence_4y_z,descriptive,not applicable,-0.0710341410283,,,2231,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,48,"{""analysis"": ""year4_IPOW_truncated_1_99"", ""cohort"": ""HRS"", ""event_type"": ""caregiving"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
44,HRS persistence_4y_z,health IPOW_truncated_1_99,HRS,persistence_4y_z,descriptive,not applicable,0.1498917384361354,,,2714,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,49,"{""analysis"": ""year4_IPOW_truncated_1_99"", ""cohort"": ""HRS"", ""event_type"": ""health"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
45,HRS persistence_4y_z,widowhood complete_four_points,HRS,persistence_4y_z,descriptive,not applicable,-0.0137693571720813,,,2499,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,50,"{""analysis"": ""year4_complete_four_points"", ""cohort"": ""HRS"", ""event_type"": ""widowhood"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
46,HRS persistence_4y_z,unemployment complete_four_points,HRS,persistence_4y_z,descriptive,not applicable,-0.0494461021897503,,,1132,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,51,"{""analysis"": ""year4_complete_four_points"", ""cohort"": ""HRS"", ""event_type"": ""unemployment"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
47,HRS persistence_4y_z,caregiving complete_four_points,HRS,persistence_4y_z,descriptive,not applicable,-0.0594122996944422,,,1946,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,52,"{""analysis"": ""year4_complete_four_points"", ""cohort"": ""HRS"", ""event_type"": ""caregiving"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
48,HRS persistence_4y_z,health complete_four_points,HRS,persistence_4y_z,descriptive,not applicable,0.1752075991615109,,,2396,source_data/analysis_outputs/NMH_confirmatory/07_weighting_results.csv,53,"{""analysis"": ""year4_complete_four_points"", ""cohort"": ""HRS"", ""event_type"": ""health"", ""record_type"": ""weighted_estimate""}",estimate,n_events,,cohort SD persistence,
